2016.04.21.14.26.38, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 3, ACK 0, 000000000
2016.04.21.14.26.48, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 0, ACK 0, 000000000
2016.04.21.14.26.48, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 1, ACK 0, 000000000
2016.04.21.14.26.48, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 2, ACK 0, 000000000
2016.04.21.14.26.48, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 3, ACK 0, 000000000
2016.04.21.14.26.58, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 0, ACK 0, 000000000
2016.04.21.14.26.58, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 2, ACK 0, 000000000
2016.04.21.14.26.58, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 1, ACK 0, 000000000
2016.04.21.14.26.58, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 4, ACK 0, 000000000
2016.04.21.14.26.59, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 3, ACK 0, 000000000
2016.04.21.14.26.59, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 6, ACK 0, 000000001
2016.04.21.14.27.08, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 3, ACK 0, 000000000
2016.04.21.14.27.09, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 4, ACK 0, 000000000
2016.04.21.14.27.09, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 6, ACK 0, 000000001
2016.04.21.14.27.09, 160.39.149.188/41193, 127.0.1.1/41194, Sequence 5, ACK 0, 000000000
