2016.04.21.14.26.37, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 0, ACK 0, 000000000
2016.04.21.14.26.37, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 1, ACK 0, 000000000
2016.04.21.14.26.37, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 2, ACK 0, 000000000
2016.04.21.14.26.37, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 3, ACK 0, 000000000
2016.04.21.14.26.38, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 0, 000010000
2016.04.21.14.26.47, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 0, ACK 0, 000000000
2016.04.21.14.26.47, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 1, ACK 0, 000000000
2016.04.21.14.26.47, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 2, ACK 0, 000000000
2016.04.21.14.26.47, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 3, ACK 0, 000000000
2016.04.21.14.26.48, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 0, 000010000
2016.04.21.14.26.48, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 0, 000010000
2016.04.21.14.26.48, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 0, 000010000
2016.04.21.14.26.48, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 0, 000010000
2016.04.21.14.26.57, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 0, ACK 0, 000000000
2016.04.21.14.26.57, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 1, ACK 0, 000000000
2016.04.21.14.26.57, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 2, ACK 0, 000000000
2016.04.21.14.26.57, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 3, ACK 0, 000000000
2016.04.21.14.26.58, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 1, 000010000
2016.04.21.14.26.58, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 4, ACK 0, 000000000
2016.04.21.14.26.58, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 1, 000010000
2016.04.21.14.26.58, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 3, 000010000
2016.04.21.14.26.58, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 3, 000010000
2016.04.21.14.26.58, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 5, ACK 0, 000000000
2016.04.21.14.26.58, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 6, ACK 0, 000000001
2016.04.21.14.26.59, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 3, 000010000
2016.04.21.14.26.59, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 3, 000010000
2016.04.21.14.27.07, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 3, ACK 0, 000000000
2016.04.21.14.27.08, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 4, ACK 0, 000000000
2016.04.21.14.27.08, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 6, ACK 0, 000000001
2016.04.21.14.27.08, 127.0.1.1/41191, 160.39.149.188/41192, Sequence 5, ACK 0, 000000000
2016.04.21.14.27.08, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 4, 000010000
2016.04.21.14.27.09, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 5, 000010000
2016.04.21.14.27.09, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 5, 000010000
2016.04.21.14.27.09, 128.59.11.34/41194, 127.0.1.1/41191, Sequence 0, ACK 7, 000010001
